researched_at_et,nfl_week,game_date,game,player,team,opponent,market,side,sportsbook,line,odds,consensus_projection,internal_projection,market_implied_probability,no_vig_probability,internal_fair_probability,estimated_edge_pct,play_to_line,max_acceptable_odds,confidence,status,injury_news_dependencies,rationale,source_timestamps,last_updated_et
2026-09-13 15:53,1,2026-09-13,ARI@LAC,Omarion Hampton,LAC,ARI,Rushing Yards,OVER,Sunday late-slate market context,67.5,,67.1,72.0,,,57.0,3.7,69.5,-120,A-,ACTIVE,"Hampton is active. Keaton Mitchell is also active. Chargers inactives include OL Logan Taylor, Alex Harkey and Trevor Penning, but local Chargers reporting describes those as expected depth-line choices with eight OL dressed.","HOLD EXISTING DK 69+ -114 TICKET / NO ADD. NFL official late inactives do not remove Hampton or Mitchell. SportsBettingDime's 11:27 ET prop board listed Hampton rushing yards at 67.5 and attempts at 15.5, below the user's 69+ threshold, but no fresh executable sportsbook price was verified at 15:53 ET. Do not create a new correlated position from stale or unpriced market data.","NFL official inactives accessed 2026-09-13 15:53 ET; SportsBettingDime published 2026-09-13 11:27 ET; Bolts From The Blue late inactives accessed 2026-09-13 15:53 ET",2026-09-13 15:53
2026-09-12 03:21,1,2026-09-13,BUF@HOU,James Cook,BUF,HOU,Receiving Yards,OVER,SportsGambler public market aggregate,21.5,-114,,18.5,53.27,50.00,,,15.5,-120,PASS,PASS,"Ty Johnson final status still matters for role, but the current public market is far beyond the prior play-to; require a major line reversal or materially stronger confirmed role change before reconsidering.","PASS_AFTER_MOVE. The early 14.5 receiving-yards candidate has been steamed to a current public aggregate of 21.5 -114, seven yards higher and six yards beyond the 15.5 play-to. FantasyPros' bullish argument was specifically at 14.5. Current projection sources are dispersed (Stats Insider 23 receiving yards; FanDuel/numberFire 11.71; CBS 13.8), so there is no sufficiently robust price-adjusted edge at 21.5. Do not chase.","SportsGambler public market captured 2026-09-12 03:21 ET; FantasyPros 2026-09-11; Stats Insider current Week 1; FanDuel Research current Week 1; CBS projections current; Bills official Friday injury report",2026-09-12 03:21
2026-09-13 15:53,1,2026-09-13,MIA@LV,Michael Mayer,LV,MIA,Receptions,AT_LEAST,DraftKings verified user ticket,5+,-110,,,52.38,,55.0,2.62,4.5,-115,B+,ACTIVE,"Brock Bowers is officially inactive. Mayer is active and enters as the Raiders' lead available tight end. No new adverse inactive news changes the role thesis.","HOLD EXISTING DK 5+ -110 TICKET / NO ADD. NFL official late inactives confirm Bowers OUT, which was already priced into the original thesis. A Sports Illustrated article published about six hours before kickoff quoted DK 5+ at -102, but that price is stale and is not treated as a current executable market. Existing ticket remains valid; avoid adding correlated Mayer receiving-yard exposure without a fresh live price and independent edge calculation.","NFL official inactives accessed 2026-09-13 15:53 ET; Sports Illustrated DK article published 2026-09-13 about 09:50 ET",2026-09-13 15:53
2026-09-13 11:42,1,2026-09-13,CHI@CAR,Colston Loveland,CHI,CAR,Receiving Yards,OVER,FanDuel via Covers,53.5,-113,57.9,57.0,53.05,,,,52.5,-115,B+,PASS,"Rome Odunze is officially active. No inactive-driven target-vacuum upgrade exists; current best verified regulated-book Over is above PRIME's 52.5 play-to.","PASS_AFTER_MOVE at the 11:30 ET inactive checkpoint. Covers odds updated 11:29 ET show FanDuel O53.5 -113, with bet365/DraftKings 54.5 and BetMGM 55.5. Odunze is active, removing the conditional catalyst that could have justified a higher fair line. Do not chase 53.5+; an earlier ticket is not a cash-out recommendation.","Covers odds updated 2026-09-13 11:29 ET; Chicago inactive list reported 2026-09-13 about 11:35 ET",2026-09-13 11:42
2026-09-13 18:44,1,2026-09-13,DAL@NYG,Jaxson Dart,NYG,DAL,Rushing Yards,OVER,Current public market/projection cross-check,31.5,,"Covers 35.71; StatsInsider 35; BallKnowMe 30.6",32.5,,,52.0,,30.5,-115,B-,PASS,"Malik Nabers remains officially questionable at this checkpoint; a pregame PA-announcer report suggests he may play but official inactives are not yet posted.","PASS_AFTER_MOVE / NO CHASE. PRIME's prior play-to was 30.5. Current market references cluster around 29.5-31.5, while projections now materially disagree: Covers projects 35.71 and StatsInsider 35, but BallKnowMe is 30.6. At 31.5 the old rushing-over thesis no longer clears PRIME's preferred edge threshold. Reopen only at 30.5 or lower at acceptable juice, or after a material role/inactive catalyst.","Covers updated 2026-09-13 14:30 ET; StatsInsider current Week 1 article accessed 2026-09-13 18:44 ET; BallKnowMe public board accessed 2026-09-13 18:44 ET; SI pregame Nabers report published 2026-09-13",2026-09-13 18:44
2026-09-13 18:44,1,2026-09-13,DAL@NYG,Jaxson Dart,NYG,DAL,Passing Yards,OVER,FTN current SNF card,211.5,-111,"FIC 230.4; StatsInsider 215; BallKnowMe 203.2; Covers 234.82 at 199.5",216.0,52.61,,54.0,1.39,211.5,-115,B-,WATCH,"Malik Nabers is still officially questionable. Official SNF inactives are not yet posted; his availability and any workload limitation materially affect Dart's passing distribution.","WATCH, not BET. FTN lists O211.5 -111 with a large proprietary edge, and several projections are above the line, but BallKnowMe is materially below it and Nabers' official status is unresolved. Do not convert a projection disagreement into a wager. Reprice after official inactives and only if a live regulated sportsbook verifies the line/price.","FTN published 2026-09-13; Covers updated 2026-09-13 14:30 ET; StatsInsider current Week 1 article accessed 2026-09-13 18:44 ET; Giants official final injury report; SI pregame Nabers report",2026-09-13 18:44
2026-09-13 18:44,1,2026-09-13,DAL@NYG,Jake Ferguson,DAL,NYG,Receptions,OVER,DraftKings via public tracker / FTN cross-check,3.5,-105,"FTN 8.7% model edge at -106; 2025 82 catches in 17 games",4.0,51.22,49.44,55.0,3.78,3.5,-108,B,WATCH,"Ferguson has no injury designation. Dallas is without LG Tyler Smith, but that is not a direct Ferguson role downgrade. Luke Schoonmaker had a non-injury personal absence earlier in the week.","BEST SNF WATCH. Public references today show 3.5 around -105/-106 and FTN flags the Over. Ferguson averaged 4.8 catches per game overall in 2025, while his role with CeeDee Lamb active was closer to four catches per game; FantasyPros notes a 16% target share and 17.6% first-read share last season. Because the publicly visible tracker is not guaranteed to be executable at this exact minute, do not alert as a formal BET yet. Promote only if a live regulated book confirms O3.5 at -108 or better; pass at -110 or worse under the current conservative 55% fair estimate.","FTN published 2026-09-13; BallKnowMe public tracker accessed 2026-09-13 18:44 ET; FantasyPros Ferguson outlook updated 2026-09-13 12:44 ET; Cowboys official updates accessed 2026-09-13",2026-09-13 18:44
2026-09-13 18:44,1,2026-09-13,DAL@NYG,Isaiah Likely,NYG,DAL,Receptions,OVER,Conflicting public DraftKings references,3.5,,"Covers projection 3.98; DK Network analyst Over",3.9,,,50.0,,3.5,+100,C+,PASS,"Malik Nabers remains officially questionable and his final status can alter target competition.","PASS FOR NOW. Public price references conflict sharply: DraftKings Network published O3.5 -113, while a public DK tracker displays plus money around +116. Covers projects only 3.98 receptions and roughly 48% Over probability at 3.5, so the thesis is highly price-sensitive and does not justify betting through price uncertainty. Reopen only after official inactives and a live executable price is verified.","DraftKings Network published 2026-09-13; Covers updated 2026-09-13 14:30 ET; BallKnowMe public tracker accessed 2026-09-13 18:44 ET",2026-09-13 18:44
2026-09-13 18:44,1,2026-09-13,DAL@NYG,Cam Skattebo,NYG,DAL,Rushing Yards,OVER,DraftKings via public tracker,49.5,-110,"StatsInsider 55; 2025 average 51.3",53.0,52.38,50.00,54.0,1.62,49.5,-105,C+,WATCH,"Skattebo returns from a major 2025 leg injury and New York retains a crowded backfield; no official inactive news currently removes his competition.","WATCH only. DK Network likes O49.5 and StatsInsider projects 55, but the edge is modest after accounting for first-game workload uncertainty and backfield competition. Do not promote from matchup narrative alone. Reprice after official inactives; current fair-probability edge is below PRIME's preferred 4-5 point threshold at -110.","DraftKings Network published 2026-09-13; StatsInsider current Week 1 article; BallKnowMe public tracker accessed 2026-09-13 18:44 ET",2026-09-13 18:44
2026-09-11 14:10,1,2026-09-14,DEN@KC,Bo Nix,DEN,KC,Rushing Yards,OVER,BetMGM,14.5,,18.46,18.0,,,57.0,,17.5,-120,B,WATCH,"Monday health/news and exact price; Nix returning from ankle injury","BetMGM lists 14.5 rushing yards; FanDuel Research projects 18.46. Interesting early MNF number, but injury/usage uncertainty requires another Monday check.","BetMGM 2026-09-10; FanDuel Research current Week 1 page",2026-09-11 14:10
2026-09-13 12:23,1,2026-09-13,ATL@PIT,Bijan Robinson,ATL,PIT,Rushing Yards,OVER,DraftKings user screenshot,72+,-112,"FantasyPros 83.8; FIC 82.8",83.5,52.83,,61.0,8.17,76.5,-120,B+,ACTIVE,"Tua Tagovailoa and Michael Penix Jr. are officially inactive; Cooper Rush starts. Bijan is active. Verify the live DraftKings app before placement.","BET_NOW / PRE_GAME. User's 11:57 ET DraftKings screen showed 72+ -112. Covers at 12:14 ET independently shows FanDuel O71.5 -113, the same at-least-72 winning threshold, plus Caesars O72.5 -113, BetMGM O72.5 -115, theScore Bet O74.5 +100 and bet365 O76.5 -115. The user's DK 72+ -112 is therefore a strong price/threshold combination and materially better than PRIME's prior 74.5 -110 recommendation. Using the prior 61% fair Over probability at the harder 74.5 threshold as a conservative floor, the raw edge versus -112 is at least 8.17 percentage points. Recommend 0.5u if still live; do not duplicate exposure if already placed and do not chase above 76.5 or worse than -120.","User DraftKings screenshot 2026-09-13 11:57 ET; Covers odds updated 2026-09-13 12:14 ET; Falcons official inactives 2026-09-13 11:30 ET",2026-09-13 12:23
2026-09-12 10:50,1,2026-09-13,TB@CIN,Cade Otton,TB,CIN,Receiving Yards,OVER,Action Network market aggregate,31.5,-114,"Action PRO 31.0; FantasyPros current 34.6; prior market-blended 31.5",,53.27,,,,27.5,-115,B,PASS,"Sean Tucker and Jalen McMillan remain doubtful; Emeka Egbuka is cleared. No new injury information offsets the four-yard price move.","PASS_AFTER_MOVE. The prior actionable Over was 27.5 -112 with a 27.5 maximum playable line. Action Network now shows Over 31.5 -114, four yards higher and materially beyond the play-to. Current projections materially disagree: Action PRO is 31.0 and prefers Under 31.5, while FantasyPros has updated Otton to 34.6. That disagreement is not enough to support a robust 4-5 percentage-point Over edge at -114. Do not chase the old Over thesis and do not flip automatically to the Under.","Action Network current page accessed 2026-09-12 10:50 ET; FantasyPros Week 1 projection page crawled 2026-09-12; Buccaneers official final injury report 2026-09-11",2026-09-12 10:50
2026-09-12 14:59,1,2026-09-13,MIA@LV,Ashton Jeanty,LV,MIA,Rushing Attempts,UNDER,Action Network market aggregate,13.5,+100,"FantasyPros 14.6; THE BLITZ 12.6 at prior 15.5 thesis",,50.00,46.94,,,15.5,-110,C,PASS,"Jeanty has no game designation; current role uncertainty remains, but the market has already moved two full attempts from the original 15.5 Under thesis.","PASS_AFTER_MOVE. Action now shows Under 13.5 +100 / Over 13.5 -130. The original 15.5 Under edge cannot be transferred across a two-attempt move, even at plus money. Reopen only if the market returns materially upward or new workload evidence changes the fair line.","Action Network current page captured 2026-09-12 14:59 ET; prior THE BLITZ and FantasyPros projections; Raiders final injury report 2026-09-11",2026-09-12 14:59
2026-09-13 11:42,1,2026-09-13,TB@CIN,Bucky Irving,TB,CIN,Rushing Attempts,OVER,DraftKings via Covers,14.5,-114,,,53.27,,,,14.5,-115,B,ACTIVE,"Sean Tucker is officially inactive. Josh Williams was elevated and is active as the No. 3 back behind Irving and Kenneth Gainwell, so Tucker's absence does not imply a two-back-only distribution.","HOLD EXISTING TICKET / NO ADD. User's verified DK O14.5 -107 has favorable same-threshold price movement versus current DK O14.5 -114. Tucker OUT is supportive of the volume thesis, but current public books also show 13.5 at several shops and prior Action PRO projected about 14.1 attempts, so model/market conflict remains. Preserve the ticket; do not chase or add solely on the inactive news.","Buccaneers official inactives 2026-09-13 11:30 ET; Covers odds updated 2026-09-13 11:12 ET; Josh Williams elevation announced 2026-09-12 15:59 ET",2026-09-13 11:42
2026-09-13 15:53,1,2026-09-13,WAS@PHI,Dallas Goedert,PHI,WAS,Receiving Yards,OVER,bet365 via Statz NFL,37.5,-116,"FantasyPros 45.4; Covers 44.22; prior numberFire 51.41",46.0,53.70,50.00,59.0,5.30,37.5,-115,B+,PASS,"Goedert is active. Eagles official inactives do not include him; Washington's inactives remove WR depth but no defensive catalyst materially upgrades Goedert. No late role news justifies relaxing the stored max price.","PASS_AFTER_MOVE remains. Statz NFL's 15:13 ET capture showed bet365 O37.5 -116/U37.5 -116, one cent beyond PRIME's 37.5/-115 ceiling. A 15:53 ET BettingPros crawl now places the consensus receiving-yards line at 38.5, which is even less favorable for a new Over and confirms the no-chase state. Reopen only if a live regulated sportsbook shows 37.5 or lower at -115 or better.","Statz NFL captured 2026-09-13 15:13 ET; NFL official late inactives accessed 2026-09-13 15:53 ET; BettingPros consensus crawled 2026-09-13 15:53 ET",2026-09-13 15:53
2026-09-16 22:08,2,2026-09-20,CLE@TB,Quinshon Judkins,CLE,TB,Rushing Attempts,OVER,bet365 via Covers,12.5,-105,"FantasyPros 16.9; CBS approximately 17.0",16.1,51.22,,63.0,11.78,13.5,-115,B+,BET,"Dylan Sampson is on injured reserve; monitor subsequent Cleveland practice/injury news and live sportsbook repricing.","BET_NOW conditional on live app. Covers odds updated 19:37 ET show bet365 O12.5 -105, newer than the prior 14:33 +100 snapshot. Stored conservative fair Over probability 63% clears -105 by approximately 11.78 percentage points. Recommend 0.5u if the exact threshold is still live; O12.5 is playable through -115 and O13.5 only at -115 or better. Do not chase O14.5+ without recalculation and do not add same-thesis rushing-yard exposure solely from the workload signal.","Covers sportsbook page updated 2026-09-16 19:37 ET; Cleveland Sampson IR context previously verified; prior FantasyPros/CBS Week 2 projections",2026-09-16 22:08
